dataset,candidate_id,mode,gamma,entropy_power,num_samples,correct,accuracy,macro_accuracy,nll,brier,ece,wrong_to_correct,correct_to_wrong,net_correction,changed_prediction_rate,prediction_sha256,mean_effective_correction_abs,max_effective_correction_abs,prediction_gate_mean,mean_clean_mass
fgvc,10,entropy_gated_prior,0.3,1.0,3333,873,26.192619261926193,26.13992869875223,2.8206575100753475,0.8471805388745655,0.08809708814464755,1,1,0,0.36003600360036003,8cd2f7a09c8f864290a19c59a7529f86ce666cfb66818d9fc5299e293e6db8b7,0.010131971989535917,0.2205228855418717,0.3603095713541061,0.8682740926742554
dtd,0,direct_prior,0.01,1.0,1692,814,48.10874704491725,48.10874704491725,2.085107763912947,0.6908032776484268,0.138442315106781,0,0,0,0.0,3457efd5b353ddfea8146ca40e1440c17b40dfa197cbd9db03bc1c7140359f23,0.0029062597622703137,0.019565217733049905,1.0,0.8316310048103333
dtd,1,direct_prior,0.025,1.0,1692,814,48.10874704491725,48.10874704491725,2.085636535383702,0.6908694436172218,0.1386748780099757,0,0,0,0.0,3457efd5b353ddfea8146ca40e1440c17b40dfa197cbd9db03bc1c7140359f23,0.007265649405675785,0.048913044332624764,1.0,0.8316310048103333
dtd,2,direct_prior,0.05,1.0,1692,814,48.10874704491725,48.10874704491725,2.086526500225277,0.6909803005547744,0.13906020731877075,0,0,0,0.0,3457efd5b353ddfea8146ca40e1440c17b40dfa197cbd9db03bc1c7140359f23,0.01453129881135157,0.09782608866524953,1.0,0.8316310048103333
dtd,3,direct_prior,0.1,1.0,1692,814,48.10874704491725,48.10874704491725,2.088338508380703,0.6912041001471454,0.13982894339001084,1,1,0,0.1773049645390071,34810e8e6e39b4630613e385bb25e4fccefa85ee11dcedd41db1eba32e300e29,0.02906259762270314,0.19565217733049906,1.0,0.8316310048103333
dtd,4,direct_prior,0.2,1.0,1692,817,48.28605200945626,48.28605200945627,2.092087295591335,0.6916593757292834,0.14034021848540534,4,1,3,0.5319148936170213,f244bee8295e0b359f920f53fd779081b3763adff9e129f61b4570c5a511230b,0.05812519524540628,0.3913043546609981,1.0,0.8316310048103333
dtd,5,direct_prior,0.3,1.0,1692,818,48.3451536643026,48.3451536643026,2.0959959548036364,0.6921237138250658,0.14064590050185816,5,1,4,0.8865248226950355,4a8c30012b64d2ae2dab1da7f871df0e4d73673676882b400e7dc10e4ffc7e74,0.08718779286810942,0.5869565319914971,1.0,0.8316310048103333
dtd,6,entropy_gated_prior,0.025,1.0,1692,814,48.10874704491725,48.10874704491725,2.085047327080711,0.6907929422654107,0.13843738013703719,0,0,0,0.0,3457efd5b353ddfea8146ca40e1440c17b40dfa197cbd9db03bc1c7140359f23,0.001873475214691819,0.031558203855716074,0.2912843155207027,0.8316310048103333
dtd,7,entropy_gated_prior,0.05,1.0,1692,814,48.10874704491725,48.10874704491725,2.0853403966112514,0.690826904626893,0.13858757021588633,0,0,0,0.0,3457efd5b353ddfea8146ca40e1440c17b40dfa197cbd9db03bc1c7140359f23,0.003746950429383638,0.06311640771143215,0.2912843155207027,0.8316310048103333
dtd,8,entropy_gated_prior,0.1,1.0,1692,815,48.167848699763596,48.167848699763596,2.0859359944206384,0.6908958172275885,0.1382969476617698,1,0,1,0.1182033096926714,217a51b01fb5a609d9919eae79b61cfd5ad8bbb0ac3040d5815d3a29c0c499be,0.007493900858767276,0.1262328154228643,0.2912843155207027,0.8316310048103333
dtd,9,entropy_gated_prior,0.2,1.0,1692,815,48.167848699763596,48.167848699763596,2.0871644761977644,0.6910374641282715,0.13890263453545337,2,1,1,0.3546099290780142,e1c5bb62c4978572e29833cf63f7e196003a02d6940b1e6ef83ece51f21dc7df,0.014987801717534553,0.2524656308457286,0.2912843155207027,0.8316310048103333
dtd,10,entropy_gated_prior,0.3,1.0,1692,817,48.28605200945626,48.28605200945627,2.088441646183767,0.6911839676875714,0.1383221324081705,4,1,3,0.4728132387706856,153f6757fadb8ab2c6a2ae749fd3bcc07687d51c020ed0397cfef1a2b5c66fc5,0.022481702576301825,0.3786984462685929,0.2912843155207027,0.8316310048103333
eurosat,0,direct_prior,0.01,1.0,8100,5095,62.901234567901234,63.22222222222222,1.8383124271051834,0.5785157609023889,0.21616193258332084,12,14,-2,0.4814814814814815,9e18aacdf40fa1287436e1349d0b5709ef29294586b098384bdec89cef3b061f,0.033388755466841516,0.19999999482176184,1.0,0.7119421362876892
eurosat,1,direct_prior,0.025,1.0,8100,5092,62.864197530864196,63.1888888888889,1.8461438911997174,0.5801952298424725,0.21626364897439926,22,27,-5,1.0,af3e9ebf50484e0d86e9db8197bc869d00e3042fd89e2708dc8129224282e4f8,0.0834718886671038,0.4999999870544046,1.0,0.7119421362876892
eurosat,2,direct_prior,0.05,1.0,8100,5084,62.76543209876543,63.09888888888888,1.8604488023801256,0.5832568066799527,0.21711061999511383,43,56,-13,1.8888888888888888,6c1cf9fc125e9bde70433d9e36aeedafb41e1df41952ca55fbd938adb403211e,0.1669437773342076,0.9999999741088093,1.0,0.7119421362876892
eurosat,3,direct_prior,0.1,1.0,8100,5063,62.50617283950617,62.841111111111104,1.8937302292648275,0.590287323249751,0.21989147891249378,83,117,-34,3.888888888888889,f4ae8bdb22e94a58bd53ecf4ea787fef432915f82a4ae29bcd2e0f07f42fff0d,0.3338875546684152,1.9999999482176185,1.0,0.7119421362876892
eurosat,4,direct_prior,0.2,1.0,8100,4979,61.46913580246913,61.85999999999999,1.9782631118479745,0.6074721520237923,0.23276458627555197,128,246,-118,7.098765432098765,947e89fd4bd4eaedd90b8532a9300b0626f7c7c5b79ec081a15ed543b876925d,0.6677751093368304,3.999999896435237,1.0,0.7119421362876892
eurosat,5,direct_prior,0.3,1.0,8100,4892,60.39506172839506,60.8788888888889,2.084093672441444,0.6270176849149772,0.24831614894690385,162,367,-205,9.88888888888889,962143d57b42a54665a19e6ac6815db26838aace5ae01a0aa3f5c47e7b8085f9,1.0016626640052455,5.999999844652854,1.0,0.7119421362876892
eurosat,6,entropy_gated_prior,0.025,1.0,8100,5095,62.901234567901234,63.22222222222222,1.8414192641961329,0.5796191323851677,0.21593455405643275,21,23,-2,0.8641975308641975,d68688fc752144fe33037cf60b86cf5e6fd65b01a41f23af11ccce8a9d89b58e,0.042700667721015634,0.44014061050564923,0.452882288311391,0.7119421362876892
eurosat,7,entropy_gated_prior,0.05,1.0,8100,5091,62.85185185185185,63.18111111111111,1.8504369476880902,0.581991901902383,0.21636494113056576,35,41,-6,1.5185185185185186,c4709f6a239753570649834e6b44f9fa4b50490a0907bf97c3d3e0eece8700eb,0.08540133544203127,0.8802812210112985,0.452882288311391,0.7119421362876892
eurosat,8,entropy_gated_prior,0.1,1.0,8100,5066,62.543209876543216,62.88,1.8714611145090843,0.587326474972134,0.219373286802798,68,99,-31,3.234567901234568,f497693a8e82b6baf68809fdb1177b33bbbf3facf4c5af7401b3522c3c35ddbb,0.17080267088406254,1.760562442022597,0.452882288311391,0.7119421362876892
eurosat,9,entropy_gated_prior,0.2,1.0,8100,5028,62.07407407407407,62.43777777777778,1.925067216892417,0.599932932011066,0.22687065616464477,109,178,-69,5.580246913580247,d305f8f8360b8e05ac0c24e00256fa1ba72a6d77eb9bcf7bfd208ebdadcb8ea7,0.34160534176812507,3.521124884045194,0.452882288311391,0.7119421362876892
