dataset,candidate_id,base_accuracy,accuracy,delta_pp,base_last50_accuracy,last50_accuracy,delta_last50_pp,delta_correct,delta_last50_correct,mean_gate,median_gate,gate_p10,gate_p25,gate_p75,gate_p90,mean_effective_update_mass,prediction_sha256,state_sha256,health_status
sun397,U1_t0.075_p1,68.92191435768262,68.90680100755668,-0.015113350125943725,70.0352644836272,69.98488664987406,-0.05037783375314575,-3,-5,0.9642305374145508,1.0,0.9209947347640991,0.9668905138969421,1.0,1.0,0.9642297625541687,4b2a8247bbbac5cc72e74ca3362b1e4430b779cb957d68a00bd8afbdfdf1dcba,2393ea73f31b82aae693ecfaa3584b22b8f27a2a81b57a128617907c5c2e0459,healthy
sun397,U1_t0.075_p2,68.92191435768262,68.90176322418137,-0.0201511335012583,70.0352644836272,70.09571788413098,0.0604534005037749,-4,6,0.937758207321167,1.0,0.8330584824085236,0.9348772764205933,1.0,1.0,0.9377573728561401,ebdf5a4f92817e9b55adf450a0fa79db21c754e03f078760d778283deb7f3895,65109cd6e0b59f0e5f2aa6fb60bbd7a324e04d32333425d8837659cae43c04b5,healthy
sun397,U1_t0.15_p0.25,68.92191435768262,68.90176322418137,-0.0201511335012583,70.0352644836272,69.97481108312343,-0.0604534005037749,-4,-6,0.9945470690727234,1.0,0.991310840845108,0.9958000779151917,1.0,1.0,0.9945462346076965,f4967b640fd35880be80afeea242d454d14c4ba498bd7d4f0ab71db283988468,4d4083e2372b5037e4cfd8a44d5f03bc27b5491f3f428b2e065e1568eae5e0f3,healthy
sun397,U1_t0.15_p0.5,68.92191435768262,68.92191435768262,0.0,70.0352644836272,70.01511335012594,-0.0201511335012583,0,-2,0.9895777106285095,1.0,0.9825629591941833,0.9916177988052368,1.0,1.0,0.9895766973495483,8a1f00bec74290ba5b6ccbaad98a05c9ff040c7042b1018230ad55865c808ddf,99de69e32aa01234219c0234461cd77dee16133d0c99c69b622843dda20e4d00,healthy
sun397,U1_t0.15_p1,68.92191435768262,68.98740554156171,0.06549118387908948,70.0352644836272,69.98488664987406,-0.05037783375314575,13,-5,0.9790347814559937,1.0,0.9623366534709931,0.9833058714866638,1.0,1.0,0.979033887386322,2d4f20c5d0d780c58b0d0afcab1330ef1867b571fd1a957704cb541c15f1af36,961cc87100cd484d8cb535356c0739d9639087afb51cc1eb98aa228f26d49a49,healthy
sun397,U1_t0.15_p2,68.92191435768262,68.97732997481108,0.055415617128460326,70.0352644836272,70.17632241813602,0.1410579345088223,11,14,0.9630907773971558,1.0,0.9191656589508057,0.9668904542922974,1.0,1.0,0.9630899429321289,910938de20c18b30c345502e0db6b0d95afbc25ee8300745b86a8a6e56f6ef8f,ecc3af5849a2b6dab17f2853200e6c3639f892c4026717c8b6b8f95640b7deaf,healthy
sun397,U1_t0.3_p0.25,68.92191435768262,68.89672544080605,-0.025188916876572875,70.0352644836272,69.99496221662469,-0.0403022670025166,-5,-4,0.9968778491020203,1.0,0.9956263601779938,0.9978978037834167,1.0,1.0,0.9968769550323486,d396c5b10ebd4ae9b50258ba599eb9ea16f91697ea80107fad5e96ca01f93e83,f895ba3f5fe4f486bd8a414c8c2098b38c2eb18783d876c4025905d3b5553079,healthy
sun397,U1_t0.3_p0.5,68.92191435768262,68.90176322418137,-0.0201511335012583,70.0352644836272,69.9647355163728,-0.07052896725440405,-4,-7,0.994242250919342,1.0,0.9912608206272125,0.9958000779151917,1.0,1.0,0.9942413568496704,d1d571590c27a1e929e4292b15f08be1a7ef9edfcad61cbe9d011ba9ec5219d3,edf46e73336b0e1d13b5b775a3281a86ed8fa38628f7489e49540f66572cebc4,healthy
sun397,U1_t0.3_p1,68.92191435768262,68.90680100755668,-0.015113350125943725,70.0352644836272,70.00503778337531,-0.03022670025188745,-3,-3,0.9890115261077881,1.0,0.9823047757148743,0.9916177988052368,1.0,1.0,0.9890106320381165,c228a9dfc7dd3d298237aad13e7b52f64a6d2341f216fe648b821d36cfe00489,9f04122a500f194184138fc1f6483dbf88c14b27dfd20b74f0fc309450f35882,healthy
sun397,U1_t0.3_p2,68.92191435768262,68.98740554156171,0.06549118387908948,70.0352644836272,69.99496221662469,-0.0403022670025166,13,-4,0.9781291484832764,1.0,0.9610986292362214,0.9833058714866638,1.0,1.0,0.9781283736228943,a56711be847fc1b7ff8c1bc4396e148673021dab62e3d4c1df462b1bb054ed96,6de2b31b7b294467143494e429595508c0c92fb99f8c4ddb8615b3792aadadb2,healthy
