dataset,candidate,base_correct,candidate_correct,delta_correct,base_acc,candidate_acc,delta_pp,corrected,regressed,net_correction,unchanged_correct,unchanged_wrong
oxford_flowers,P8,1895,1895,0,76.93869265123833,76.93869265123833,0.0,0,0,0,1895,568
food101,P0,26373,26373,0,87.03960396039604,87.03960396039604,0.0,0,0,0,26373,3927
food101,P1,26373,26372,-1,87.03960396039604,87.03630363036304,-0.0033003300329994545,0,1,-1,26372,3927
food101,P2,26373,26372,-1,87.03960396039604,87.03630363036304,-0.0033003300329994545,0,1,-1,26372,3927
food101,P3,26373,26373,0,87.03960396039604,87.03960396039604,0.0,1,1,0,26372,3926
food101,P4,26373,26372,-1,87.03960396039604,87.03630363036304,-0.0033003300329994545,1,2,-1,26371,3926
food101,P5,26373,26372,-1,87.03960396039604,87.03630363036304,-0.0033003300329994545,1,2,-1,26371,3926
food101,P6,26373,26371,-2,87.03960396039604,87.03300330033004,-0.006600660065998909,1,3,-2,26370,3926
food101,P7,26373,26369,-4,87.03960396039604,87.02640264026402,-0.013201320132012029,1,5,-4,26368,3926
food101,P8,26373,26367,-6,87.03960396039604,87.01980198019803,-0.019801980198010938,2,8,-6,26365,3925
oxford_pets,P0,3409,3409,0,92.91360043608613,92.91360043608613,0.0,0,0,0,3409,260
oxford_pets,P1,3409,3409,0,92.91360043608613,92.91360043608613,0.0,0,0,0,3409,260
oxford_pets,P2,3409,3409,0,92.91360043608613,92.91360043608613,0.0,0,0,0,3409,260
oxford_pets,P3,3409,3409,0,92.91360043608613,92.91360043608613,0.0,0,0,0,3409,260
oxford_pets,P4,3409,3410,1,92.91360043608613,92.94085581902425,0.027255382938122352,1,0,1,3409,259
oxford_pets,P5,3409,3410,1,92.91360043608613,92.94085581902425,0.027255382938122352,1,0,1,3409,259
oxford_pets,P6,3409,3409,0,92.91360043608613,92.91360043608613,0.0,1,1,0,3408,259
oxford_pets,P7,3409,3408,-1,92.91360043608613,92.88634505314799,-0.027255382938136563,1,2,-1,3407,259
oxford_pets,P8,3409,3408,-1,92.91360043608613,92.88634505314799,-0.027255382938136563,1,2,-1,3407,259
sun397,P0,13681,13681,0,68.92191435768262,68.92191435768262,0.0,0,0,0,13681,6169
sun397,P1,13681,13681,0,68.92191435768262,68.92191435768262,0.0,0,0,0,13681,6169
sun397,P2,13681,13681,0,68.92191435768262,68.92191435768262,0.0,0,0,0,13681,6169
sun397,P3,13681,13681,0,68.92191435768262,68.92191435768262,0.0,0,0,0,13681,6169
sun397,P4,13681,13681,0,68.92191435768262,68.92191435768262,0.0,0,0,0,13681,6169
sun397,P5,13681,13683,2,68.92191435768262,68.93198992443325,0.01007556675062915,2,0,2,13681,6167
sun397,P6,13681,13683,2,68.92191435768262,68.93198992443325,0.01007556675062915,2,0,2,13681,6167
sun397,P7,13681,13683,2,68.92191435768262,68.93198992443325,0.01007556675062915,4,2,2,13679,6165
sun397,P8,13681,13683,2,68.92191435768262,68.93198992443325,0.01007556675062915,4,2,2,13679,6165
ucf101,P0,2801,2801,0,74.04176579434312,74.04176579434312,0.0,0,0,0,2801,982
ucf101,P1,2801,2801,0,74.04176579434312,74.04176579434312,0.0,0,0,0,2801,982
ucf101,P2,2801,2801,0,74.04176579434312,74.04176579434312,0.0,0,0,0,2801,982
ucf101,P3,2801,2801,0,74.04176579434312,74.04176579434312,0.0,0,0,0,2801,982
ucf101,P4,2801,2801,0,74.04176579434312,74.04176579434312,0.0,0,0,0,2801,982
ucf101,P5,2801,2801,0,74.04176579434312,74.04176579434312,0.0,1,1,0,2800,981
ucf101,P6,2801,2802,1,74.04176579434312,74.06819984139572,0.02643404705260366,2,1,1,2800,980
ucf101,P7,2801,2803,2,74.04176579434312,74.09463388844833,0.05286809410520732,3,1,2,2800,979
ucf101,P8,2801,2800,-1,74.04176579434312,74.01533174729052,-0.02643404705260366,3,4,-1,2797,979
