dataset,arm,config_sha256,wrong_to_correct,correct_to_wrong,net_correction,changed_prediction_rate,ncr,accuracy,nll,brier,ece
sun397,posterior,5fc1060e7e727ae166004f5c7faf03e5d8cce54ca4fa0b2cae981bccd689e18d,0,0,0,0.010075566750629723,0.0,68.84130982367758,1.5923107799247722,0.4822299891635213,0.16816083372277338
sun397,posterior,f65a72582364988b015a3ad55c75860e43ef7f69d9e7acf795e41834e4f24cfc,0,1,-1,0.030226700251889168,-0.005037783375314861,68.83627204030228,1.5929666850485047,0.4822498194216481,0.16825013216481705
sun397,posterior,5cfd27b18789321ca909eb75ff5aa9bdd0a06f89c1bc0052c31b72d72c122704,0,1,-1,0.020151133501259445,-0.005037783375314861,68.83627204030228,1.5929208962489434,0.48224759570297127,0.1682462663742097
sun397,posterior,e708eefcb84e77c85151dd0e25aede3398ba3910999182688e186c7a9ee00bc2,1,1,0,0.04030226700251889,0.0,68.84130982367758,1.5942345162578149,0.4822871859157716,0.16827310644146476
sun397,posterior,d0a135beb7c6b09a54ce13c77d128e06b04edfd50077205b12dc37b8b2a10aae,1,1,0,0.04030226700251889,0.0,68.84130982367758,1.5941425998558594,0.4822827452316092,0.16826546574569773
sun397,posterior,0a8da61da7404f9b9a107ce06e6deb0f44c6bbd0b0b3d4b2e93a490b7838c189,0,1,-1,0.030226700251889168,-0.005037783375314861,68.83627204030228,1.5929666850485047,0.4822498194216481,0.16825013216481705
sun397,posterior,32196dc273fa89a6423bd87b43a39983f790fb54c729dce024f250bbfeb0708d,0,1,-1,0.020151133501259445,-0.005037783375314861,68.83627204030228,1.5929208962489434,0.48224759570297127,0.1682462663742097
sun397,posterior,d256e698c88a385627e87c4f606cd7e991a33eec5a94320d0a8c2ca749d80723,1,1,0,0.04030226700251889,0.0,68.84130982367758,1.5942345162578149,0.4822871859157716,0.16827310644146476
sun397,posterior,7736544593ca1ad232b175d4ea495335118a3e544d428142ed12941f6e595f4b,1,1,0,0.04030226700251889,0.0,68.84130982367758,1.5941425998558594,0.4822827452316092,0.16826546574569773
sun397,posterior,bcbc63809f17f9f0d62b91ec8e48d38572fa0f69884f136285ee22f1bed9fd47,1,3,-2,0.05037783375314861,-0.010075566750629723,68.83123425692695,1.5967768232406747,0.48236161797412996,0.16851788571371834
sun397,posterior,0166d964f7dd6f270a762877bb75f9fdf99de181e80b99efc89c604054a210c3,1,3,-2,0.05037783375314861,-0.010075566750629723,68.83123425692695,1.5965916522349033,0.4823527399298526,0.16850299572163924
office_home_product,posterior,a849f56a0a970fd61c0414d361bc392a5c5832d36cd9ff6e54a85838a0fecf45,0,0,0,0.022527596305474205,0.0,90.35818878125704,0.5017721928655214,0.15137603479506975,0.054954552501406434
office_home_product,posterior,0eefcc38f06fe1a12575ef68cd598a6d61b75ccb163571ddfbe3061208fad59f,0,0,0,0.022527596305474205,0.0,90.35818878125704,0.501617009577849,0.1513586645191869,0.054942919135657575
office_home_product,posterior,aefffc43babaab8eb6fcbc2475d9a71792820253c3caa607f50d9331d7772ece,0,0,0,0.022527596305474205,0.0,90.35818878125704,0.5028880200791102,0.15144441527379313,0.05500490840261758
office_home_product,posterior,1277c7d2c13875da67801ba1bf33750a03111ce816d79d517ced73b3d3ebb8da,0,0,0,0.022527596305474205,0.0,90.35818878125704,0.5025767285462457,0.15140984927944623,0.05498196693537173
office_home_product,posterior,2c043afd9daec8300e98688fa934ba86e579c3f4464ce7a217519cd399b61f9d,0,0,0,0.04505519261094841,0.0,90.35818878125704,0.5051261048009292,0.15157888927393118,0.05510340083837782
office_home_product,posterior,f6125e291cb3d163801196312b2c12d6678518454a49169fa36b75448eb41a5a,0,0,0,0.04505519261094841,0.0,90.35818878125704,0.5044999273496111,0.1515105011952463,0.055058647300456405
office_home_product,posterior,974f4b9286d70cf4e60618cde4fef315c47404c14d5f75a93d9b0c11eb2b33d9,0,0,0,0.022527596305474205,0.0,90.35818878125704,0.5028880200791102,0.15144441527379313,0.05500490840261758
office_home_product,posterior,5fc1060e7e727ae166004f5c7faf03e5d8cce54ca4fa0b2cae981bccd689e18d,0,0,0,0.022527596305474205,0.0,90.35818878125704,0.5025767285462457,0.15140984927944623,0.05498196693537173
office_home_product,posterior,f65a72582364988b015a3ad55c75860e43ef7f69d9e7acf795e41834e4f24cfc,0,0,0,0.04505519261094841,0.0,90.35818878125704,0.5051261048009292,0.15157888927393118,0.05510340083837782
office_home_product,posterior,5cfd27b18789321ca909eb75ff5aa9bdd0a06f89c1bc0052c31b72d72c122704,0,0,0,0.04505519261094841,0.0,90.35818878125704,0.5044999273496111,0.1515105011952463,0.055058647300456405
office_home_product,posterior,e708eefcb84e77c85151dd0e25aede3398ba3910999182688e186c7a9ee00bc2,1,0,1,0.11263798152737103,0.022527596305474205,90.3807163775625,0.509626573945064,0.15183878968121314,0.055088714557366525
office_home_product,posterior,d0a135beb7c6b09a54ce13c77d128e06b04edfd50077205b12dc37b8b2a10aae,0,0,0,0.04505519261094841,0.0,90.35818878125704,0.5083605418029932,0.15170515099203408,0.05522866434988126
office_home_product,posterior,0a8da61da7404f9b9a107ce06e6deb0f44c6bbd0b0b3d4b2e93a490b7838c189,0,0,0,0.04505519261094841,0.0,90.35818878125704,0.5051261048009292,0.15157888927393118,0.05510340083837782
office_home_product,posterior,32196dc273fa89a6423bd87b43a39983f790fb54c729dce024f250bbfeb0708d,0,0,0,0.04505519261094841,0.0,90.35818878125704,0.5044999273496111,0.1515105011952463,0.055058647300456405
office_home_product,posterior,d256e698c88a385627e87c4f606cd7e991a33eec5a94320d0a8c2ca749d80723,1,0,1,0.11263798152737103,0.022527596305474205,90.3807163775625,0.509626573945064,0.15183878968121314,0.055088714557366525
office_home_product,posterior,7736544593ca1ad232b175d4ea495335118a3e544d428142ed12941f6e595f4b,0,0,0,0.04505519261094841,0.0,90.35818878125704,0.5083605418029932,0.15170515099203408,0.05522866434988126
office_home_product,posterior,bcbc63809f17f9f0d62b91ec8e48d38572fa0f69884f136285ee22f1bed9fd47,1,4,-3,0.20274836674926783,-0.06758278891642262,90.29060599234062,0.5187145930650893,0.15232330813121087,0.056315568427857954
